Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
Vertices visitados = [1, 2, 5, 3, 4]
Nivel dos vertices = {1: 0, 2: 1, 5: 2, 3: 3, 4: 3}
